Rk,G,Season,Age,Tm,Opp,W/L,GS,MP,MP1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,09-10,21-228,GSW,HOU,L (-1),1,35.39,35:39,7,12,0.583,0,1,0,0,0,,1,1,2,7,4,0,2,2,14,15.5,7
2,2,09-10,21-230,GSW,PHO,L (-22),1,39.05,39:05,5,9,0.556,2,3,0.667,0,0,,0,2,2,4,1,0,3,5,12,7.1,-19
3,3,09-10,21-235,GSW,MEM,W (+8),1,28.27,28:27,3,6,0.5,1,2,0.5,0,0,,0,5,5,9,2,0,1,4,7,11.2,-4
4,4,09-10,21-237,GSW,LAC,L (-28),1,21.32,21:32,1,5,0.2,0,1,0,3,4,0.75,0,1,1,3,0,0,0,6,5,1.5,-13
5,5,09-10,21-239,GSW,SAC,L (-13),1,31.15,31:15,4,8,0.5,1,2,0.5,0,2,0,1,3,4,6,0,0,5,4,9,3.4,-5
6,6,09-10,21-240,GSW,MIN,W (+41),1,29.49,29:49,2,8,0.25,1,2,0.5,3,4,0.75,0,2,2,5,1,0,2,1,8,5.5,28
7,7,09-10,21-242,GSW,IND,L (-14),0,21.11,21:11,3,7,0.429,0,2,0,0,0,,0,1,1,4,1,0,3,2,6,2.6,-13
8,8,09-10,21-244,GSW,NYK,W (+14),0,2.35,2:35,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,0.3,3
9,9,09-10,21-245,GSW,MIL,L (-4),0,25.57,25:57,6,9,0.667,2,2,1,0,0,,1,3,4,2,2,1,1,5,14,12.8,2
10,10,09-10,21-248,GSW,CLE,L (-6),1,41.18,41:18,6,10,0.6,2,6,0.333,0,1,0,0,5,5,7,0,0,3,2,14,11.6,-4
11,11,09-10,21-249,GSW,BOS,L (-14),1,35.24,35:24,4,10,0.4,1,4,0.25,4,4,1,0,0,0,7,4,0,6,3,13,9.3,5
12,12,09-10,21-251,GSW,POR,W (+14),1,45.34,45:34,3,9,0.333,2,3,0.667,4,5,0.8,0,6,6,8,1,1,1,6,12,12.2,18
13,13,09-10,21-255,GSW,DAL,W (+8),1,34.48,34:48,6,12,0.5,2,4,0.5,4,4,1,1,3,4,6,3,0,4,5,18,14.8,16
14,14,09-10,21-256,GSW,SAS,L (-14),1,34.12,34:12,5,16,0.313,1,4,0.25,0,0,,1,6,7,5,1,2,6,3,11,3,-7
15,15,09-10,21-259,GSW,LAL,L (-33),1,36.01,36:01,5,15,0.333,1,5,0.2,2,2,1,1,3,4,8,0,0,1,0,13,10.7,-23
16,16,09-10,21-261,GSW,IND,W (+19),1,19.50,19:50,2,5,0.4,1,2,0.5,2,2,1,0,2,2,4,3,0,2,2,7,7.9,-7
17,17,09-10,21-262,GSW,DEN,L (-28),1,40.42,40:42,4,14,0.286,2,6,0.333,0,0,,1,3,4,6,2,2,1,2,10,9.2,-14
18,18,09-10,21-264,GSW,HOU,L (-2),1,31.51,31:51,4,8,0.5,1,3,0.333,2,2,1,1,4,5,2,2,1,4,3,11,7.8,-3
19,19,09-10,21-266,GSW,ORL,L (-8),1,46.09,46:09,6,12,0.5,0,2,0,1,1,1,0,3,3,3,1,0,3,4,13,6.4,-8
20,20,09-10,21-268,GSW,OKC,L (-16),1,36.26,36:26,9,14,0.643,2,4,0.5,2,2,1,0,4,4,2,4,0,5,5,22,15.4,-17
21,21,09-10,21-270,GSW,NJN,W (+16),1,30.12,30:12,6,13,0.462,1,4,0.25,1,2,0.5,1,3,4,4,3,0,4,4,14,8.7,7
22,22,09-10,21-272,GSW,CHI,L (-5),1,27.15,27:15,3,9,0.333,0,3,0,0,0,,0,3,3,1,1,0,0,0,6,3.5,-8
23,23,09-10,21-273,GSW,DET,L (-9),1,37.50,37:50,5,10,0.5,3,4,0.75,6,6,1,0,2,2,4,4,1,4,4,19,16.5,-11
24,24,09-10,21-275,GSW,PHI,L (-16),1,36.24,36:24,5,13,0.385,1,4,0.25,3,4,0.75,0,4,4,4,4,1,4,5,14,9.2,-14
25,25,09-10,21-277,GSW,SAS,L (-12),1,25.03,25:03,4,11,0.364,0,2,0,0,0,,1,3,4,3,4,0,1,5,8,6.6,-12
26,26,09-10,21-279,GSW,WAS,L (-9),1,46.15,46:15,9,17,0.529,5,9,0.556,4,4,1,1,7,8,4,3,0,2,4,27,23.7,-10
27,27,09-10,21-283,GSW,MEM,L (-13),1,41.17,41:17,6,15,0.4,2,6,0.333,0,0,,1,6,7,8,0,0,4,2,14,9.2,-3
28,28,09-10,21-284,GSW,NOH,L (-6),1,47.01,47:01,6,13,0.462,3,5,0.6,2,2,1,0,10,10,7,2,0,2,5,17,16.2,-1
29,29,09-10,21-287,GSW,PHO,W (+5),1,26.33,26:33,4,10,0.4,3,4,0.75,2,2,1,1,2,3,4,3,0,1,4,13,12.1,6
30,30,09-10,21-289,GSW,BOS,W (+4),1,10.41,10:41,0,4,0,0,1,0,0,1,0,0,2,2,0,1,0,1,3,0,-3.8,-16
31,31,09-10,21-290,GSW,LAL,L (-6),1,23.20,23:20,6,10,0.6,0,1,0,3,3,1,1,2,3,3,0,0,4,3,15,8.6,-7
32,32,09-10,21-294,GSW,POR,L (-16),1,29.00,29:00,4,10,0.4,1,2,0.5,0,0,,0,1,1,1,1,0,3,4,9,1,-6
33,33,09-10,21-297,GSW,DEN,L (-1),1,40.18,40:18,10,13,0.769,6,6,1,0,0,,0,5,5,6,3,0,2,3,26,26.4,-1
34,34,09-10,21-298,GSW,MIN,W (+6),1,30.11,30:11,7,11,0.636,0,2,0,2,2,1,0,1,1,4,2,0,1,6,16,12.8,11
35,35,09-10,21-300,GSW,SAC,W (+7),1,34.08,34:08,5,10,0.5,1,2,0.5,1,2,0.5,0,3,3,4,1,0,2,3,12,8.1,5
36,36,09-10,21-303,GSW,CLE,L (-3),1,36.07,36:07,8,15,0.533,1,2,0.5,4,5,0.8,0,7,7,5,1,1,2,4,21,17,1
37,37,09-10,21-305,GSW,MIA,L (-13),1,32.34,32:34,3,10,0.3,3,5,0.6,0,0,,1,3,4,4,0,0,4,1,9,3.2,-12
38,38,09-10,21-307,GSW,MIL,L (-9),1,48.00,48:00,7,17,0.412,1,4,0.25,3,3,1,0,6,6,4,6,1,4,6,18,13.8,-9
39,39,09-10,21-310,GSW,CHI,W (+17),1,43.28,43:28,9,18,0.5,5,8,0.625,3,3,1,2,8,10,6,1,1,5,4,26,20.1,21
40,40,09-10,21-312,GSW,DEN,L (-5),1,48.47,48:47,6,17,0.353,3,8,0.375,0,0,,0,3,3,6,1,0,3,2,15,7.8,-2
41,41,09-10,21-314,GSW,NJN,W (+32),1,48.00,48:00,11,21,0.524,3,7,0.429,7,8,0.875,0,2,2,7,4,0,2,4,32,27.2,32
42,42,09-10,21-315,GSW,PHO,L (-9),1,40.26,40:26,10,25,0.4,4,9,0.444,1,1,1,0,5,5,2,0,0,1,4,25,11.8,-10
43,43,09-10,21-318,GSW,SAC,L (-3),1,44.42,44:42,10,22,0.455,3,10,0.3,4,5,0.8,1,8,9,6,3,0,1,3,27,23.3,9
44,44,09-10,21-319,GSW,NOH,L (-13),1,40.39,40:39,7,13,0.538,1,3,0.333,0,0,,0,5,5,8,3,0,5,4,15,12.2,-5
