Rk,Player,Season,Age,Tm,Lg,3P%,3PA,TS%,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,eFG%,FT%
1,Kyle Korver,2014-15,33,ATL,NBA,0.492,449,0.699,75,75,2418,6.2,12.7,1.5,3.2,4.7,9.5,2.2,2.5,0.3,6.1,6.4,4.1,1.1,0.9,2.3,3,19.3,0.487,0.47,0.671,0.898
2,Tim Legler,1995-96,29,WSB,NBA,0.522,245,0.688,77,0,1775,6.7,13.3,3,6.2,3.7,7.1,3.8,4.4,0.8,3.2,4,3.9,1.3,0.3,1.3,4.1,20.9,0.507,0.488,0.646,0.863
3,Steve Novak,2011-12,28,NYK,NBA,0.472,282,0.684,54,0,1020,8.1,17,1.4,2.8,6.7,14.2,1.1,1.3,0.5,4.8,5.3,0.6,0.8,0.5,1.1,3,24.1,0.478,0.509,0.675,0.846
4,Stephen Curry,2017-18,29,GSW,NBA,0.423,501,0.675,51,51,1631,12.6,25.5,6.4,10.7,6.3,14.8,8.2,8.9,1.1,6.6,7.7,9.2,2.4,0.2,4.5,3.4,39.8,0.495,0.595,0.618,0.921
5,Stephen Curry,2015-16,27,GSW,NBA,0.454,886,0.669,79,79,2700,14.4,28.6,7.2,12.7,7.2,15.9,6.5,7.2,1.2,6.5,7.7,9.4,3,0.3,4.7,2.9,42.5,0.504,0.566,0.63,0.908
6,Brent Barry,2003-04,32,SEA,NBA,0.452,252,0.668,59,53,1803,6.4,12.6,3,5.2,3.4,7.5,2.7,3.3,0.6,5.4,6,10.1,2.5,0.5,4.1,3.6,18.8,0.504,0.577,0.637,0.827
7,Manu Ginobili,2011-12,34,SAS,NBA,0.413,126,0.668,34,7,792,9.8,18.6,6.4,10.4,3.4,8.2,5.7,6.6,1.2,6.4,7.6,9.9,1.6,0.8,4.2,3.7,28.7,0.526,0.616,0.618,0.871
8,Steve Kerr,1996-97,31,CHI,NBA,0.464,237,0.667,82,0,1861,7.1,13.4,4,6.6,3.2,6.8,1.5,1.9,0.8,2.9,3.7,5,1.9,0.1,1.2,2.8,19,0.533,0.604,0.651,0.806
9,Brent Barry,2006-07,35,SAS,NBA,0.446,287,0.666,75,28,1631,6.6,13.9,2.4,4.5,4.2,9.4,3.4,3.8,0.6,4.7,5.2,4.5,1.8,0.4,2,2.9,20.8,0.475,0.536,0.626,0.88
10,Fred Hoiberg,2004-05,32,MIN,NBA,0.483,145,0.664,76,0,1272,5.9,12,2.9,5.9,3,6.1,3.8,4.3,1.4,6.3,7.7,3.6,2.1,0.6,0.8,4.4,18.5,0.489,0.496,0.613,0.873
11,Steve Kerr,1995-96,30,CHI,NBA,0.515,237,0.663,82,0,1919,6.7,13.2,3.3,6.7,3.3,6.5,2.1,2.3,0.7,2.3,3,5.3,1.7,0.1,1.2,3,18.9,0.506,0.498,0.633,0.929
12,Anthony Tolliver,2017-18,32,DET,NBA,0.436,365,0.663,79,14,1757,6.2,13.4,1.7,3,4.5,10.4,3,3.8,1.4,5.4,6.8,2.6,0.9,0.6,1.6,4.1,20,0.464,0.561,0.632,0.797
13,Mario Elie,1996-97,33,HOU,NBA,0.42,286,0.662,78,77,2687,5.7,11.4,3.3,5.8,2.3,5.6,4,4.5,1.2,3.4,4.6,6,1.8,0.2,2.6,3.9,17.7,0.497,0.572,0.6,0.896
14,Brent Barry,2000-01,29,SEA,NBA,0.476,229,0.66,67,20,1778,5.8,11.8,2.6,5.1,3.2,6.8,2.5,3,1,5.2,6.2,6.6,2.4,0.4,2.5,3.7,17.4,0.494,0.517,0.63,0.816
15,John Stockton,1996-97,34,UTA,NBA,0.422,180,0.656,82,82,2896,7.7,14,6.3,10.7,1.4,3.3,5.1,6,0.8,3.4,4.2,15.8,3.1,0.3,4.6,3.6,21.8,0.548,0.587,0.598,0.846
16,Brent Price,1995-96,27,WSB,NBA,0.462,301,0.655,81,50,2042,6.3,13.4,2.8,5.8,3.5,7.5,4.2,4.8,1,4.8,5.7,10.4,2,0.1,3.8,4.6,20.3,0.472,0.485,0.602,0.874
17,Brent Barry,2007-08,36,SAS,NBA,0.429,112,0.655,31,1,554,7.5,15.6,2.8,4.7,4.7,10.9,1.9,2,1.2,4.2,5.4,5.3,1.7,0.3,1.8,4.2,21.6,0.481,0.604,0.631,0.95
18,Steve Nash,2006-07,32,PHO,NBA,0.455,343,0.654,76,76,2682,9.7,18.2,6.8,11.8,2.9,6.4,4.2,4.6,0.6,4.5,5,16.5,1.1,0.1,5.4,2.2,26.4,0.532,0.575,0.613,0.899
19,Kyle Korver,2013-14,32,ATL,NBA,0.472,392,0.653,71,71,2408,6.1,12.8,2.2,4.6,3.9,8.3,1.8,2,0.5,5.5,5.9,4.4,1.5,0.5,2.1,3.1,17.9,0.475,0.479,0.626,0.926
20,Brent Barry,2001-02,30,SEA,NBA,0.424,387,0.652,81,81,3040,7.1,14,4.2,7.1,2.9,6.9,3.5,4.1,1,6.8,7.8,7.6,2.6,0.7,2.9,3.2,20.6,0.508,0.588,0.611,0.846
21,Kyle Korver,2017-18,36,CLE,NBA,0.436,376,0.652,73,4,1574,6.9,15.1,1.8,3.4,5.1,11.7,2,2.2,0.3,4.9,5.1,2.7,1,0.8,1.7,4,20.9,0.459,0.537,0.628,0.889
22,John Stockton,1994-95,32,UTA,NBA,0.449,227,0.651,82,82,2867,7.8,14.3,5.9,10.2,1.8,4.1,4.4,5.5,1,3.5,4.5,18.3,3.5,0.4,4.8,3.9,21.8,0.542,0.58,0.607,0.804
23,Henry Walker,2009-10,22,TOT,NBA,0.431,116,0.649,35,13,768,8,15.4,4.7,7.7,3.3,7.7,2.6,3.3,1,4.9,5.9,2.7,1.5,0.2,1.9,5.5,21.9,0.517,0.603,0.625,0.796
24,Kevin Durant,2012-13,24,OKC,NBA,0.416,334,0.647,81,81,3119,12.1,23.6,9.8,18.1,2.3,5.5,11.2,12.4,0.8,9.8,10.6,6.2,1.9,1.7,4.6,2.4,37.6,0.51,0.539,0.559,0.905
25,Karl-Anthony Towns,2017-18,22,MIN,NBA,0.421,285,0.646,82,82,2918,11,20.1,8.9,15.2,2.1,4.9,5.9,6.9,4.1,13.3,17.3,3.4,1.1,2,2.7,4.9,29.9,0.545,0.585,0.596,0.858
26,Nicolas Batum,2009-10,21,POR,NBA,0.409,132,0.646,37,25,918,8.3,16,5.1,8.1,3.2,7.9,2.6,3,1.9,6.5,8.4,2.6,1.4,1.5,1.6,4.9,22.3,0.519,0.625,0.619,0.843
